GROUP,CODE,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO,TC
,,veg,,,,,,,,,,
,g_veg_1,"Cabbage, broccoli, cauliflower","Λάχανο, μπρόκολο, κουνουπίδι","Kapusta, brokuły, kalafior","Cavolo, broccoli, cavolfiore","Col, brócoli, coliflor","Kohl, Brokkoli, Blumenkohl","Repolho, brócolos, couve-flor","Kool, bloemkool, broccoli, ","Chou, brocoli, chou-fleur","varza, brocolo si conopida",椰菜、西蘭花、椰菜花
,g_veg_2,Carrot,Καρότο,Μarchewka,Carota,Zanahoria,Karotte,Cenoura,wortel,Carotte,Morcovi,紅蘿蔔
,g_veg_3,Root vegetables like celery,Ριζώδη λαχανικά όπως το σέλινο ,"Warzywa korzeniowe, takie jak seler",Ortaggi a radice come il sedano,Hortalizas de raíz como el apio,Wurzelgemüse wie Sellerie,Outras Raízes e Tubérculos,Wortel groenten,Légumes-racines comme le céleri,Radacinoase cum ar fi telina,芹菜頭、蓮藕
,g_veg_4,"Green leafy vegetables (spinach, lettuce etc)","Πράσινα λαχανικά (σπανάκι, μαρούλι κ.λπ.)","Zielone warzywa liściaste (np. szpinak, sałata)","Verdure a foglia verde (spinaci, lattuga, ecc.)","Verduras de hojas verdes (espinacas, lechuga, etc.)","Grünes Blattgemüse (Spinat, Salat usw.)","Hortícolas de folhas verdes (espinafre, alface, etc.)","Groene bladgroente (spinazie, sla etc)","Légumes à feuilles vertes (épinards, laitue, etc.)","Vegetale cu frunze verzi: spanac , salata verde",綠葉蔬菜（菠菜、生菜等）
,g_veg_5,"Pea, green beans","Μπιζέλι, πράσινα φασολάκια","Groszek, fasolka szparagowa","Guisantes, judías verdes","Guisante, judía verde","Erbsen, grüne Bohnen","Ervilhas, feijões verdes","Doperwten, groene erwten","Petits pois, haricots verts","Mazare, fasole verde",青豆、四季豆
,g_veg_6,Pepper,Πιπέρι,Papryka,Pepe,Pimienta,Pfeffer,Pimento,Peper,Poivron,Piper,燈籠椒
,g_veg_7,Tomato,Ντομάτα,Pomidor,Pomodoro,Tomate,Tomate,Tomate,Tomaat,Tomate,Rosii,蕃茄
,g_veg_8,Zucchini or courgette οr other squashes,Κολοκύθι ,"Cukinia, kabaczek",Zucchine,Calabacín,Zucchini ,Curgete,"Zucchini, courgette of pompoen",Courgette ou autre courge,"Dovleac, dovlecei",翠玉瓜、節瓜
,,,,,,,,,,,,
,,legume,,,,,,,,,,
,g_legumes_1,Beans (all types),Φασόλια (όλα τα είδη),Fasola (wszystkie rodzaje),Fagioli (tutti i tipi),Frijoles (todos los tipos),Bohnen (alle Sorten),Feijão (todos os tipos),Boontjes en Bonen (alle soorten),Haricots (tous types),Fasole uscata - de toate tipurile,各種豆類
,g_legumes_2,Chickpeas,Ρεβίθια,Ciecierzyca,Ceci,garbanzos,Kichererbsen,Grão de bico,Kikkererwten,Pois chiches,Naut,鷹嘴豆
,g_legumes_3,Lentils,Φακές,Soczewica,Lenticchie,lentejas,Linsen,lentilhas,Peulvruchten,Lentilles,Linte,扁豆
,g_legumes_4,Soya,Σόγια,Soja,Soia,Soja,Soja,Soja,Soja,Soja,Soia,大豆/黃豆
,g_legumes_5,Peanut/peanut butter,Φιστίκι αράπικο/φυστικοβούτυρο,"Orzeszki ziemne, w tym masło z orzeszków ziemnych",Burro di arachidi/arachidi,maní/mantequilla de maní,Erdnuss/Erdnussbutter,Amendoim/manteiga de amendoim,"Pinda, pindakaas",Arachide/beurre de cacahuète,Arahide / Unt de arahide,花生/花生醬
,,,,,,,,,,,,
,,meat,,,,,,,,,,
,g_meat_1,Chicken/turkey/duck,Κοτόπουλο/γαλοπούλα/πάπια,Kurczak/Indyk/Kaczka,Pollo,Pollo,Huhn/Truthahn/Ente,Frango/peru/pato,kKp/kalkoen/eend,Poulet/dinde/canard,Pui de gaina / Curcan/ Rata,雞/火雞/鴨
,g_meat_2,Processed meat like cold cuts/ham/salami ,Επεξεργασμένο κρέας όπως αλλαντικά/ζαμπόν/σαλάμι,"Mięso przetworzone, takie jak wędliny/szynka/salami",Carne lavorata come salumi/prosciutto/salame,Carne procesada como embutidos/jamón/salami,Verarbeitetes Fleisch wie Aufschnitt/Schinken/Salami,Carne processada como fiambre/presunto/salame,"Bewerkt vlees, zoals vleeswaar (bv ham, salami)",Viande transformée comme charcuterie/jambon/salami,"Carne procesată, cum ar fi mezeluri, șuncă, salam",加工肉類，如火腿/火雞肉
,g_meat_3,Lamb,Αρνί,Jagnięcina,Agnello,Cordero,Lamm,Cordeiro,Lamsvlees,Agneau,Miel,羊肉
,g_meat_4,Liver pate,Πατέ συκωτιού,"Wątróbka, np. pasztet z wątroby",Paté di fegato,Paté de hígado,Leberpastete,Patê de fígado,"Leverpastei, leverworst",Pâté de foie,Pateu de ficat,肝臟/肝醬
,g_meat_5,Pork,Χοιρινό κρέας,Wieprzowina,Maiale,Cerdo,Schweinefleisch,Carne de porco,Varkensvlees,Porc,Porc,豬肉
,g_meat_6,Rabbit,Κουνέλι,Królik,Coniglio,Conejo,Kaninchen,Coelho,Konijn,Lapin,Iepure,兔肉
,g_meat_7,Beef,Μοσχαρίσιο κρέας,Wołowina,Manzo,Carne de res,Rindfleisch,Carne de vaca,Rundvlees ,Bœuf,Vita,牛肉
,g_meat_8,Venison,Κρέας ελαφιού,Sarnina,Carne di cervo,Venado,Wild,Carne de veado,Wild,Cerf,Carne de caprioara,鹿肉
,,,,,,,,,,,,
,,fish,,,,,,,,,,
,g_fish_1,"Crustaceans (shrimps, crayfish, crab, lobster)","Οστακοειδή(γαρίδες, καραβίδες, καβούρι, αστακός)","Skorupiaki (krewetki, raki, kraby, homary)","Crostacei (gamberi, gamberi, granchi, aragoste)","Crustáceos (camarones, cangrejos de río, cangrejos, langostas)","Krebstiere (Garnelen, Flusskrebse, Krabben, Hummer)","Crustáceos (camarão, lagostim, caranguejo, lagosta)","Schelpdieren (garnalen, rivierkreeft, krab, zeekfreeft)","Crustacés (crevettes, écrevisses, crabe, homard)","Crustacee / fructe de mare (creveți, raci, crab, homar)",甲殼類（蝦、小龍蝦、蟹、龍蝦）
,g_fish_2,Fish,Ψάρι,Ryba,Pescare,Pez,Fisch,Peixe,Vis,Poisson,Peste,魚
,g_fish_3,"Mollusks (clams, scallops, oysters, mussels, octopus, snails, kalamari, cuttlefish)","Μαλάκια (μύδια, χτένια, στρείδια, μύδια, χταπόδι, σαλιγκάρια, καλαμάρι, σουπιές)","Mięczaki (małże, przegrzebki, ostrygi, małże, ośmiornice, ślimaki, kalamari, mątwy)","Molluschi (vongole, capesante, ostriche, cozze, polpi, lumache, kalamari, seppie)","Moluscos (almejas, vieiras, ostras, mejillones, pulpo, caracoles, calamar, sepia)","Weichtiere (Muscheln, Jakobsmuscheln, Austern, Muscheln, Tintenfische, Schnecken, Kalamari, Tintenfische)","Moluscos (amêijoas, vieiras, ostras, mexilhões, polvo, caracóis, calamares, chocos)","Weekdieren (kokkels, coquilles, oesters, mosselen, reuzeninktvis, slakken, inktvis, zeekat)","Mollusques (palourdes, coquilles Saint-Jacques, huîtres, moules, poulpe, escargots, calamar, seiche)","Moluște (scoici, stridii, caracatiță, melci, calamar, sepie)",貝類（蜆、帶子、蠔、青口、八爪魚、螺、魷魚、墨魚）
,,,,,,,,,,,,
,,fruit,,,,,,,,,,
,g_fruit_1,Apple (and products made from apple like apple sauce),Μήλο (και προϊόντα που παρασκευάζονται από μήλο όπως κρέμα μήλου) ,Jabłko (i produkty z jabłek tj. mus jabłkowy),Mela,Manzana,Apfel (und Produkte aus Apfel wie Apfelmus),Maçã (e produtos feitos de maçã como molho de maçã),Appel en producten met appel zoals appelmoes,Pomme (et produits à base de pomme comme la compote de pommes),"Măr (și produse din mere, cum ar fi crema de mere)",蘋果 (及蘋果蓉/蘋果醬)
,g_fruit_2,Mango,Μάνγκο,Mango,Salsa di mele,salsa de manzana,Mango,manga,Mango,Mangue,Mango,芒果
,g_fruit_3,Banana,Μπανάνα,Banan,Banana,Plátano,Banane,Banana,Banaan,Banane,Banana,香蕉
,g_fruit_4,Berries including strawberry,Μούρα συμπεριλαμβανομένης της φράουλας,"Jagody (truskawki, maliny, borówki, porzeczki, jagody)",Frutti di bosco,Bayas,Beeren,Frutos silvestres,"Bessen, aardbeien","Baies, y compris les fraises","Capsuni, zmeura, mure, alte fructe de padure",莓類 (包括士多啤梨)
,g_fruit_5,Dried fruits,Αποξηραμένα φρούτα,Suszone owoce,Frutta secca,Frutas secas,Getrocknete Früchte,Frutas secas,Gedroogde vruchten,Fruits secs,Fructe uscate,乾果
,g_fruit_6,Figs,Σύκα,Figi,Fichi,higos,Feigen,figos,Vijgen,Figues,smochine,無花果
,g_fruit_7,Fresh fruit juice,Φρέσκος χυμός φρούτων,Sok ze świeżych owoców,Succo di frutta fresca,Jugo de fruta fresca,Frischer Fruchtsaft,Sumo de frutas frescas (natural),Vers geperst vruchtensap,Jus de fruits frais,Sucuri proaspete de fructe,鮮榨果汁
,g_fruit_8,Fruit juice (with or without sugar),Χυμός φρούτων (με ή χωρίς ζάχαρη),Sok owocowy (z dodatkiem cukru lub bez),Succo di frutta (con o senza zucchero),Jugo de frutas (con o sin azúcar),Fruchtsaft (mit oder ohne Zucker),Sumo de fruta (com ou sem açúcar),Vruchtensap/siroop met of zonder suiker uit pak of fles,Jus de fruits (avec ou sans sucre),Suc de fructe cu sau fara adaus de zahar,果汁 (有添加糖／無添加糖）
,g_fruit_9,Grapes,Σταφύλι,Winogrona,Uva,Uvas,Trauben,Uvas,Druiven,Raisins,Struguri,提子
,g_fruit_10,Kiwi,Ακτινίδιo,Kiwi,kiwi,kiwi,Kiwi,kiwi,Kiwi,Kiwi,Kiwi,奇異果
,g_fruit_11,"Melon, watermelon","Πεπόνι, καρπούζι","Melon, arbuz","Melone, anguria","melón, sandía","Melone, Wassermelone","Melão, melancia","Meloen, Watermeloen","Melon, pastèque","Pepene galben, pepene verde",蜜瓜，西瓜
,g_fruit_12,"Orange, mantarine","Πορτοκάλι, μανταρίνι","Pomarańcze, mandarynki","Arancia, mantarina","naranja, mandarina","Orange, Mandarine","laranja, tangerina","Sinaasappel, mandarijn","Orange, mandarine",Portocale /mandarine,橙，柑
,g_fruit_13,"Peach, apricot","Ροδάκινο, βερίκοκο","Brzoskwinia, morela","Pesca, albicocca","melocotón, albaricoque","Pfirsich, Aprikose","pêssego, damasco","Perzik, abrikoos","Pêche, abricot","Piersici, caise",桃，杏桃
,g_fruit_14,Pear,Αχλάδι,Gruszka,Pera,Pera,Birne,Pera,Peer,Poire,Pere,梨
,g_fruit_15,Avocado,Αβοκάντο,Awokado,avocado,Aguacate,avocado,Abacate,Avocado,Avocat ,Avogado,牛油果
,,,,,,,,,,,,
,,dairy,,,,,,,,,,
,g_dairy_1,Plant-based milk (specify here fortified/non-fortified),Φυτικό γάλα (διευκρινίστε αν είναι εμπλουτισμένο/ μη εμπλουτισμένο),Mleko roślinne,Latte di mandorla,Leche de almendras,Pflanzenmilch (hier angereichert/nicht angereichert angeben),Leite vegetal (especificar aqui fortificado/não fortificado),Plantaardige melkvervangers (geef hier aan: met of zonder calcium/vit D/vit B2,Lait végétal (précisez s'il est enrichi/non enrichi),Lapte vegetal (specificați dacă este îmbogățit/neîmbogățit),植物奶 (請註明有添加 或沒有添加礦物質/維他命)
,g_dairy_2,Cow's milk yogurt,Γιαούρτι αγελάδος,Jogurt z mleka krowiego,Yogurt di latte vaccino,yogur de leche de vaca,Kuhmilchjoghurt,Iogurte de leite de vaca,Yoghurt (koemelk basis ,Yaourt au lait de vache,Iaurt de vaca,乳酪
,g_dairy_3,Cream cheese,Τυρί κρέμα,Twarożek,Crema di formaggio,Queso crema,Frischkäse,Queijo-creme,Cream cheese,Fromage à la crème,Branzeturi cremoase,忌廉芝士 (Cream Cheese)
,g_dairy_4,Feta cheese,Φέτα,Ser feta,Formaggio feta,Queso feta,Feta Käse,Queijo feta,Feta,Fromage feta,Branza feta,菲達芝士 (Feta Cheese)
,g_dairy_5,Fresh cow's milk,Γάλα φρέσκο αγελαδινό,Mleko krowie,Latte vaccino fresco,Leche fresca de vaca,Frische Kuhmilch,Leite de vaca fresco (não pasteurizado),Gepasteuriseerde (koeien) melk (koelvak),Lait de vache frais,Lapte proaspat de vaca,新鮮牛奶 (鮮奶)
,g_dairy_6,Fresh goat/sheep milk,Γάλα φρέσκο κατσικίσιο/πρόβειο,Mleko kozie/owcze,Latte fresco di capra/pecora,Leche fresca de cabra/oveja,Frische Ziegen-/Schafsmilch,Leite de cabra/ovelha fresco (não pasteurizado),Gepasteuriseerde geiten- of schapenmelk (koelvak),Lait de chèvre/lait de brebis frais,Lapte proaspat de oaie / capra,新鮮羊奶
,g_dairy_7,Kephir/Airani,Κεφίρ/Αϊράνι,Kefir/Ajran,Kephir/Airani,Kéfir/Airani,Kephir/Airani,Kefir,"Keifir, Airani",Kéfir/Aïrani,Lapte acru /batut/ kefir,克非爾 (Kefir)
,g_dairy_8,Kids yogurt,Γιαούρτι παιδικό,Jogurt dla dzieci,Yogurt per bambini,yogur para niños,Kinderjoghurt,iogurte para bebé,Kinder yoghurt (zoals Danoontje),Yaourt pour enfants,Iaurt pentru copii,兒童乳酪
,g_dairy_9,Rice milk,Γάλα ρυζιού,Mleko ryżowe,Latte di riso,Leche de arroz,Reismilch,Bebida de arroz,Rijstmelk,Lait de riz,Lapte de orez,米奶
,g_dairy_10,Sheep/ goat yogurt,Γιαούρτι πρόβειο/κατσικίσιο,Jogurt z mleka koziego/owczego,Yogurt di pecora/capra,Yogur de oveja/cabra,Schaf-/Ziegenjoghurt,Iogurte de Ovelha/Cabra,Schapen- of geitenyoghurt,Yaourt de chèvre/lait de brebis,Iaurt de oaie / capra,羊奶乳酪
,g_dairy_11,Soy cheese,Τυρί σόγιας,Ser z mleka sojowego,Formaggio di soia,queso de soja,Sojakäse,queijo de soja,Soja kaas,Fromage de soja,branza de soia,大豆芝士
,g_dairy_12,Soy milk,Γάλα σόγιας,Mleko sojowe,Latte di soia,Leche de soja,Soja Milch,Bebida de soja,Soja melk,Lait de soja,lapte de soia,豆奶／豆漿
,g_dairy_13,Soy yogurt,Γιαούρτι σόγιας,Jogurt z mleka sojowego,Yogurt di soia,yogur de soja,Sojajoghurt,iogurte de soja,Soja yoghurt,Yaourt de soja,Iaurt de soia,大豆乳酪
,g_dairy_14,"Cheese (i.e cheddar, edam, Comte, parmesan)",Κίτρινο τυρί,"Żółty ser (np. Cheddar, Edam, Comte, Parmezan)","Formaggio giallo (i.e cheddar, edam, Comte, parmesan)","Queso amarillo (i.e cheddar, edam, Comte, parmesano)","Käse (z. B. Cheddar, Edamer, Comte, Parmesan)","Queijo (ou seja, cheddar, edam, Comte, parmesão)","Kaas (Cheddar, Edam/Goudse, Comté, Parmezaan)","Fromage (comme le cheddar, l'edam, le Comté, le parmesan)","Branzeturi galbene - Cedar, Edam",芝士
,,,,,,,,,,,,
,,,,,,,,,,,,
,,egg,,,,,,,,,,
,g_egg_1,Hard boiled egg (boiling >6min),Αυγό βραστό σφικτό (βρασμός >6λεπτά),Jajko na twardo (gotowanie >6min),Uovo sodo (ebollizione >6min),Huevo duro (hirviendo >6min),Hartgekochtes Ei (>6 Min. kochen),Ovo cozido (fervura > 6min),Hard gekookt ei (> 6 minuten gekookt),Œuf dur (cuisson > 6 minutes),Ou fiert tare (> 6 minute),烚全熟蛋 (以沸水烚至少6分鐘或以上)
,g_egg_2,Raw egg,Αυγό ωμό/αυγολέμονο,Surowe jajko,Uovo crudo,Huevo crudo,Rohes Ei,Ovo cru,Rauw ei,Œuf cru,Ou nefiert,生蛋
,g_egg_3,Partially cooked like scrambled egg and sunny side egg,Αυγό μελάτο (βρασμός 3 λεπτά),Jajko na miękko/jajecznica/jajko sadzone,Parzialmente cotto come uova strapazzate e uova al sole,Parcialmente cocinado como huevo revuelto y huevo estrellado,Teilweise gekocht wie Rührei und Spiegelei,Parcialmente cozido como ovo mexido e ovo estrelado,"Zacht gekookt of gebakken ei, scrambled egg","Œuf partiellement cuit, comme les œufs brouillés et les œufs sur le plat",Ou fiert moale (<3 minute),半熟蛋如炒蛋和太陽蛋
,,,,,,,,,,,,
,,fat,,,,,,,,,,
,g_fat_1,Butter,Βούτυρο,Masło,Burro,Manteca,Butter,Manteiga,Roomboter,Beurre,Unt,牛油
,g_fat_2,Corn oil/vegetable oils,Καλαμποκέλαιο/άλλα φυτικά έλαια,Olej roślinny,Olio di mais/oli vegetali,Aceite de maíz/aceites vegetales,Maisöl/pflanzliche Öle,Óleo de milho/óleos vegetais,Maisolie of andere plantaardige olie,Huile de maïs/huiles végétales,Uleiuri vegetale (de flaorea soarelui,粟米油/ 植物煮食油
,g_fat_3,Margarine,Μαργαρίνη,Margaryna,Margarina,Margarina,Margarine,Margarina,Margarine,Margarine,Margarina,人造牛油
,g_fat_4,Olive oil,Ελαιόλαδο,Oliwa z oliwek,Olio d'oliva,Aceite de oliva,Olivenöl,Azeite,Olijfolie,Huile d'olive,Ulei de masline,橄欖油
,g_fat_5,Nut and seed oils,Έλαια ξηρών καρπών και σπόρων,Oleje z orzechów i nasion,Oli di noci e semi,Aceites de nueces y semillas,Nuss- und Samenöle,Óleos de nozes e sementes,Olie van noten of zaden,Huiles de noix et de graines,"Ulei de arahide, nuci, sau alte seminte",堅果油及種子油
,,,,,,,,,,,,
,,sweets,,,,,,,,,,
,g_sweets_1,Baby biscuits without sugar,Μπισκότα βρεφικά χωρίς ζάχαρη,Biszkopty bez cukru,Biscotti per bambini senza zucchero,Galletas para bebés sin azúcar,Babykekse ohne Zucker,Biscoitos infantis sem açúcar,Baby biscuits zonder suiker,Biscuits pour bébés sans sucre,Biscuiti de copii fara zahar,嬰兒餅乾（不含糖分）
,g_sweets_2,Fruit spread (i.e. jam),Μαρμελάδα φρούτων,Dżem,Frutta spalmabile,Crema de frutas,Fruchtaufstrich (z. B. Marmelade),Pasta de frutas (como compota),Vruchtenspread,"Confiture (par exemple, confiture)",Dulceturi si marmelade,果醬/果占
,g_sweets_3,Honey,Μέλι,Miód,Miele,Miel,Honig,Mel,Honing,Miel,Miere,蜜糖
,g_sweets_4,"Sweets, cake, biscuits","Γλυκά, κέικ, μπισκότα","Słodycze, ciasta, ciastka","Dolci, torte, biscotti","Azúcar/bollería (por ejemplo, pasteles, galletas)","Süßigkeiten, Kuchen, Kekse","Doces, bolo, biscoitos","Snoep, cake, koek/biscuits","Bonbons, gâteaux, biscuits","Prajituri, checuri, biscuiti",糖果，蛋糕，甜餅乾
,,,,,,,,,,,,
,,nuts,,,,,,,,,,
,g_nuts_seeds_1,Mustard,Μουστάρδα,Musztarda,Mostarda,Mostaza,Senf,Mostarda,Mosterd,Moutarde,Mustard,芥末
,g_nuts_seeds_2,Sesame/tahini,Σουσάμι/ταχίνι,Sezam (np. tahini),Tahini di sesamo,Tahini de sésamo,Sesam Tahini,Pasta de sésamo (Tahini),Sesam/Tahini,Sésame/tahini,"Susam, Tahini",芝麻/ 芝麻醬
,g_nuts_seeds_3,Tree nuts (and nut butters),Ξηροί καρποί/ αλλείματα ξηρών καρπών,Orzechy drzewne (np. masła orzechowe),Frutta a guscio (e burro di noci),Nueces de árbol (y mantequillas de nueces),Baumnüsse (und Nussbutter),Frutos oleaginosos (e manteigas de frutos oleaginosos),Noten en notenpasta,Fruits à coque (et beurres de noix),Alune si unt de alune,堅果（及堅果醬）
,,,,,,,,,,,,
,,spices,,,,,,,,,,
,g_spices_salt_1,Salt,Αλάτι,Sól,Sale,Sal,Salz,Sal,Zout,Sel,Sare,食鹽
,g_spices_salt_2,"Spices/herbs (e.g. pepper, cinammon, etc)","Μπαχαρικά (πιπέρι, κανέλλα, γαρύφαλλο, μοσχοκάρυδο κλπ)","Przyprawy/zioła (np. pieprz, cynamon)","Spezie/erbe aromatiche (ad es. pepe, cannella, ecc.)","Especias/hierbas (por ejemplo, pimienta, canela, etc.)","Gewürze/Kräuter (z. B. Pfeffer, Zimt usw.)","Especiarias/ervas aromáticas (por exemplo, pimenta, canela, etc.)","Kruiden/specerijen (b.v. peper, kaneel, etc)","Épices/herbes (par exemple, poivre, cannelle, etc.)","Condimente (piper, scorțișoară, cuișoare, nucșoară etc.)",香料／草藥（如胡椒，肉桂等）
,,,,,,,,,,,,
,,additional,,,,,,,,,,
,g_addit_guid_1,"Preprepared baby food - Baby jars, pouches",Έτοιμα γεύματα σε βαζάκια,"Gotowe produkty dla niemowląt (np. słoiczki, tubki)","Alimentos preparados para bebés - Tarros, bolsas para bebés",tarros de bebe,"Vorbereitete Babynahrung – Gläschen, Beutel","Comida pré-preparada para bebés - Frascos, saquetas para bebés","Kant-en-klare baby potjes, knijpffruitjes","Aliments pour bébés préparés - Petits pots pour bébés, sachets",Alimente pentru copii gata preparate in borcane,嬰兒樽裝或包裝預先包裝食物
,g_addit_guid_2,Share family meal with salt,Οικογενειακό φαγητό με αλάτι,Dania domowe z zawartością soli,Condividi il pasto in famiglia con il sale,Compartir comida familiar con sal,Teilen Sie ein Familienessen mit Salz,Compartilhar a refeição da família com sal,Met de pot mee-eten (met zout),Partage de repas familiaux avec du sel,"Alimente gatite pentru toata familia, cu sare",食鹽
,g_addit_guid_3,Share family meal without salt,Οικογενειακό φαγητό χωρίς αλάτι,Dania domowe bez zawartości soli,Condividi il pasto in famiglia senza sale,Compartir comida familiar sin sal,Teilen Sie ein Familienessen ohne Salz,Compartilhar a refeição da família sem sal,met de pot mee-eten (zonder zout),Partage de repas familiaux sans sel,"Alimente gatite pentru toata familia, fara sare",香料／草藥（如胡椒，肉桂等）
,g_addit_guid_4,Mashed Food,Φαγητό λιωμένο με πηρούνι,Rozgniecione widelcem jedzenie,Purè di cibo,comida triturada,Püriertes Essen,Alimentos triturados,Gepureerd eten,Aliments écrasés,Alimente pisate cu furculita,泥狀食物 (mashed food)
,g_addit_guid_5,Pureed food,Φαγητό πολτοποιημένο (πουρέ),Zmiksowane jedzenie,Cibo frullato,Comida en puré,Püriertes Essen,Alimentos em puré,Gepureerd eten,Aliments réduits en purée,Alimente tocate in blender,糊狀食物 (pureed food)
,g_addit_guid_6,Food in pieces and finger food,Φαγητό σε κομματάκια,Jedzenie w kawałkach,Cibo a pezzi e finger food,Comida en trozos y comida para picar,Essen in Stücken und Fingerfood,Alimentos em pedaços e 'finger food',Stukjes eten en fingerfoods,Aliments en morceaux et aliments à manger avec les doigts,Alimente taiate in bucati mici,塊狀食物(food in pieces)及手指食物(finger food)
,g_addit_guid_7,Baby-led weaning,Σίτιση καθοδηγούμενη από το βρέφος (baby-led weaning),Karmienie metodą BLW (Baby-led weaning),Svezzamento guidato dal bambino,Destete guiado por el bebé,Babygeführte Entwöhnung,Alimentação complementar guiada pelo bebé (método 'Baby-led weaning'),Baby-led weaning of Rapley methode,Diversification alimentaire dirigée par le bébé,Alimentatie la alegerea sugarului ( Baby-led weaning),兒童主導斷奶 (BLW - Baby-led Weaning)
